,DEV_ID,DEV_NAME,PUB_ID
0,201,Nintendo EAD,101
1,202,Game Freak,101
2,203,Bungie Studios,102
3,204,Project Sora,101
4,205,Nintendo EAD Tokyo,101
5,206,Bandai Namco Games,101
6,207,Nintendo EPD,101
7,208,Guerrilla Games,103
8,209,SquareSoft,104
9,210,Square Enix,106
10,211,SCEA Santa Monica Studio,104
11,212,Epic Games,102
12,213,Polyphony Digital,104
13,214,Blizzard Entertainment,107
14,215,Capcom Production Studio 1,108
15,216,Rare Ltd.,101
16,217,Lionhead Studios,102
17,218,Ready at Dawn,104
18,219,Crytek,109
19,220,Retro Studios,101
20,221,HAL Laboratory,101
21,222,Capcom Production Studio 4,108
22,223,Capcom,108
23,224,Flagship,108
24,225,Sonic Team/Dimps Corporation,110
25,226,BestGameEver.com,111
26,227,Good-Feel,101
27,228,Sonic Team,110
28,229,Cavia Inc.,108
29,230,Matrix Software,106
30,231,Evolution Studios,104
31,232,Sega WOW Overworks,110
32,233,Ubisoft Paris,112
33,234,Alfa System,110
34,235,GRIN,108
35,236,High Voltage Software,110
36,237,Ellipse Studios,113
